=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 20:25:44 =~=~=~=~=~=~=~=~=~=~=~=
inspect;
I received: inspect
inspecting
time;humidity
629409;10415635
629435;10415178
629461;10416123
629487;10415838
629513;10416724
629540;10417994
629566;10418787
629592;10418619
629618;10418782
629645;10418955
629671;10418664
629697;10418654
629723;10419363
629750;10421204
629776;10420140
629801;10420392
629828;10420126
629854;10418954
629880;10417959
629906;10418147
629933;10418043
629959;10418117
629985;10418102
630012;10419599
630038;10418684
630064;10418570
630090;10418742
630117;10419186
630142;10419978
630169;10419121
630195;10419477
630221;10419820
630247;10420249
630274;10420604
630300;10420470
630326;10421766
630352;10421647
630378;10421392
630404;10422436
630431;10420997
630457;10421086
630483;10421179
630510;10421691
630535;10421971
630562;10421111
630588;10421105
630614;10420910
630641;10421174
630667;10421597
630693;10421352
630720;10421214
630746;10421597
630771;10420072
630798;10418915
630824;10418713
630850;10419013
630876;10419830
630903;10419989
630929;10419549
630955;10419766
630981;10419791
631007;10420702
631034;10419146
631060;10418255
631086;10418279
631113;10418689
631138;10418895
631165;10418235
631191;10418107
631217;10417255
631244;10418222
631270;10417048
631296;10416000
631322;10416001
631349;10416084
631375;10417039
631401;10416330
631427;10416024
631453;10417158
631479;10417572
631506;10418757
631532;10419328
631558;10420692
631584;10419510
631611;10419185
631637;10418541
631663;10417206
631689;10417507
631715;10417378
631742;10417719
631767;10417961
631794;10419928
631820;10418831
631847;10417610
631872;10417615
631899;10417295
631925;10415178
631951;10413529
631978;10412691
632003;10412874
632030;10412603
632056;10412563
632083;10411825
632109;10411471
632135;10412786
632161;10414596
632187;10414745
632214;10414001
632240;10412982
632266;10412789
632292;10412362
632318;10411052
632344;10412879
632371;10413602
632397;10414804
632424;10415640
632449;10416418
632475;10418345
632502;10419146
632528;10419630
632555;10419063
632581;10419570
632607;10419998
632633;10418954
632659;10418714
632685;10416837
632712;10417301
632738;10416925
632764;10417388
632791;10418335
632816;10418417
632842;10417788
632869;10417945
632895;10418319
632921;10418516
632947;10418850
632973;10419722
633000;10419369
633026;10418546
633052;10418418
633079;10419633
633105;10419136
633131;10419022
633157;10418481
633183;10418463
633210;10418343
633236;10417891
633262;10418496
633288;10419118
633314;10419554
633341;10418767
633367;10418599
633393;10418473
633420;10419304
633446;10419319
633471;10419732
633498;10420131
633524;10419471
633551;10418797
633577;10419269
633603;10419889
633629;10420328
633656;10420111
633682;10420672
633708;10421356
633734;10421417
633760;10420047
633786;10419131
633813;10418397
633839;10418049
633865;10418393
633891;10418998
633918;10419697
633944;10420554
633970;10420416
633996;10419964
634023;10419846
634048;10419392
634075;10419909
634101;10420441
634127;10420052
634153;10420460
634180;10420727
634206;10422154
634232;10421066
634259;10420923
634284;10419570
634311;10419472
634337;10418801
634363;10418737
634389;10418890
634416;10418443
634441;10417935
634468;10418792
634494;10417630
634520;10417301
634546;10417614
634573;10416887
634599;10417236
634625;10417866
634651;10419401
634677;10418576
634704;10418580
634730;10418363
634756;10418343
634782;10416950
634809;10417718
634835;10417891
634861;10417019
634887;10416817
634914;10416040
634940;10415936
634966;10416503
634992;10417389
635018;10418156
635045;10418197
635071;10418949
635097;10418024
635123;10417728
635150;10417404
635176;10417423
635202;10417434
635228;10418127
635255;10418260
635280;10417728
635307;10418481
635333;10417010
635359;10417236
635385;10418210
635412;10418004
635438;10418240
635464;10418683
635490;10417999
635517;10417989
635543;10416925
635569;10417537
635595;10417807
635622;10417664
635648;10418491
635674;10416267
635700;10415862
635726;10415434
635753;10415730
635779;10415010
635805;10414990
635831;10415055
635858;10415351
635883;10415158
635910;10415227
635936;10415233
635962;10415527
635988;10415384
636015;10415823
636041;10415833
636067;10415512
636093;10416325
636119;10415336
636146;10415504
636172;10415946
636198;10416418
636224;10417186
636251;10417969
636277;10418230
636303;10419231
636329;10419811
636356;10419073
636382;10419904
636408;10419983
636434;10421691
636460;10421371
636487;10420785
636513;10420895
636539;10420556
636566;10420531
636592;10420461
636617;10421367
636644;10419574
636670;10418649
636696;10418841
636722;10419530
636749;10418481
636775;10419264
636801;10419870
636827;10419108
636853;10419284
636880;10419003
636906;10418541
636932;10418762
636958;10418555
636985;10418974
637011;10418360
637037;10418546
637063;10418767
637090;10419589
637116;10420378
637142;10421002
637168;10419993
637195;10419146
637221;10419747
637247;10420140
637273;10419891
637300;10420787
637325;10420387
637351;10420603
637378;10419560
637404;10418255
637430;10416847
637457;10415468
637483;10416039
637509;10415898
637535;10415301
637561;10415256
637587;10415635
637613;10415434
637640;10415956
637666;10416280
637692;10417487
637719;10418609
637745;10417693
637771;10418403
637797;10417866
637824;10418295
637850;10418975
637876;10419402
637902;10418995
637929;10420398
637954;10420785
637981;10420342
638007;10420905
638033;10420870
638059;10420761
638086;10420914
638112;10421293
638138;10420215
638165;10419934
638190;10419988
638217;10419535
638243;10421165
638269;10420392
638295;10420845
638322;10420687
638348;10420056
638374;10418857
638400;10418857
638427;10420150
638453;10419609
638479;10418807
638505;10419239
638531;10419870
638557;10420574
638584;10419904
638610;10421337
638636;10420741
638663;10420362
638688;10420205
638715;10419786
638741;10419555
638767;10419225
638793;10418865
638820;10417216
638846;10416920
638872;10416699
638898;10417083
638925;10417221
638951;10417432
638977;10418378
639003;10419628
639030;10418724
639056;10420165
639082;10419831
639108;10419402
639135;10418855
639160;10419510
639187;10419628
639213;10419894
639239;10419841
639265;10419677
639292;10420077
639318;10420057
639344;10419299
