=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 19:02:19 =~=~=~=~=~=~=~=~=~=~=~=
cl alibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2836810;10014999
2836836;10014279
2836863;10014050
2836888;10014122
2836915;10013050
2836941;10013050
2836967;10012401
2836993;10012183
2837020;10012913
2837046;10012652
2837072;10011970
2837098;10012667
2837125;10012458
2837151;10011581
2837177;10011296
2837203;10011187
2837230;10010206
2837256;10011496
2837282;10009547
2837308;10009941
2837334;10009523
2837360;10008395
2837387;10007574
2837413;10007841
2837439;10007873
2837465;10007547
2837491;10007683
2837518;10008556
2837544;10007432
2837570;10007428
2837596;10007731
2837623;10007655
2837649;10007945
2837675;10007750
2837701;10007551
2837727;10008755
2837754;10008793
2837780;10007821
2837806;10007579
2837833;10008485
2837859;10009073
2837885;10008954
2837911;10008865
2837937;10009836
2837963;10009139
2837990;10009623
2838016;10010163
2838042;10010017
2838068;10010405
2838095;10010050
2838120;10009395
2838147;10009106
2838173;10009054
2838199;10008802
2838225;10008803
2838252;10009068
2838278;10008669
2838304;10009538
2838330;10008471
2838357;10008580
2838383;10008622
2838409;10008689
2838435;10008546
2838461;10009666
2838488;10008755
2838514;10009258
2838540;10008723
2838567;10009898
2838592;10009177
2838618;10009669
2838645;10010453
2838671;10009832
2838698;10010410
2838723;10010808
2838749;10010666
2838776;10010861
2838802;10012079
2838829;10011794
2838855;10012221
2838881;10012330
2838907;10012202
2838933;10012605
2838960;10013624
2838985;10013231
2839012;10013112
2839038;10013368
2839064;10013445
2839091;10013847
2839117;10013970
2839143;10013771
2839169;10013624
2839195;10013472
2839222;10013672
2839248;10014188
2839274;10012923
2839300;10013458
2839326;10013146
2839353;10013871
2839379;10013202
2839405;10013563
2839431;10014961
2839458;10013752
2839484;10013952
2839510;10014335
2839537;10013971
2839563;10015032
2839588;10015079
2839615;10015635
2839641;10014828
2839667;10015346
2839693;10015687
2839720;10016416
2839746;10017351
2839773;10016715
2839798;10017156
2839824;10018147
2839851;10019404
2839877;10019361
2839903;10019593
2839930;10019978
2839955;10020218
2839981;10021798
2840008;10021120
2840034;10020855
2840061;10020783
2840086;10021542
2840113;10022215
2840139;10022396
2840165;10022001
2840192;10022239
2840218;10022636
2840244;10022779
2840270;10023087
2840297;10022802
2840323;10023031
2840349;10023329
2840375;10023614
2840401;10023657
2840428;10024045
2840453;10023423
2840480;10024510
2840507;10024287
2840532;10024164
2840559;10024870
2840585;10023955
2840611;10024572
2840637;10025206
2840664;10024756
2840690;10024922
2840716;10025003
2840742;10024969
2840768;10025193
2840794;10024870
2840821;10025676
2840847;10024836
2840873;10025567
2840899;10025794
2840926;10026155
2840952;10026586
2840979;10026714
2841004;10025922
2841031;10026619
2841057;10027079
2841083;10027183
2841109;10027691
2841136;10027942
2841161;10028184
2841188;10028801
2841214;10028658
2841240;10028924
2841266;10029014
2841292;10028824
2841319;10030502
2841345;10029118
2841372;10028886
2841397;10030384
2841424;10029611
2841450;10029521
2841476;10028928
2841502;10029057
2841529;10029113
2841555;10028648
2841581;10028615
2841608;10028379
2841634;10028393
2841659;10028102
2841686;10028132
2841712;10028060
2841739;10027279
2841764;10027544
2841791;10028179
2841817;10027151
2841843;10027041
2841870;10027107
2841895;10026364
2841922;10026918
2841948;10027179
2841975;10026606
2842000;10026823
2842027;10026827
2842053;10026590
2842079;10026999
2842106;10027174
2842132;10026473
2842158;10026695
2842184;10027174
2842210;10027097
2842237;10027146
2842263;10027454
2842289;10026581
2842315;10026353
2842341;10026724
2842367;10026676
2842394;10026833
2842420;10026325
2842446;10027009
2842472;10026515
2842498;10025472
2842525;10025609
2842551;10025211
2842578;10025340
2842604;10025462
2842630;10025025
2842656;10024951
2842682;10025643
2842709;10025965
