=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 12:01:24 =~=~=~=~=~=~=~=~=~=~=~=
calir brate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2198619;10178640
2198671;10178848
2198725;10179309
2198778;10179019
2198832;10179867
2198885;10179959
2198938;10181229
2198992;10181255
2199044;10180867
2199098;10181545
2199151;10181934
2199204;10181929
2199258;10182412
2199310;10181481
2199364;10181161
2199417;10180679
2199471;10180191
2199524;10179753
2199577;10179005
2199631;10177749
2199683;10179034
2199737;10178734
2199790;10179773
2199843;10180619
2199897;10180215
2199950;10180492
2200003;10179220
2200057;10179389
2200109;10180727
2200163;10181767
2200216;10182082
2200269;10182599
2200323;10181087
2200376;10181357
2200429;10181891
2200482;10182260
2200535;10182019
2200589;10182594
2200642;10181905
2200695;10181215
2200749;10180123
2200802;10178708
2200855;10178251
2200908;10178778
2200962;10179058
2201015;10179403
2201068;10179669
2201122;10180053
2201175;10180831
2201227;10180896
2201281;10181388
2201334;10180811
2201388;10179891
2201441;10179964
2201494;10180393
2201547;10180210
2201600;10180319
2201654;10180551
2201707;10180565
2201761;10180625
2201814;10180364
2201867;10179925
2201920;10179659
2201973;10180531
2202027;10180309
