=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:59:32 =~=~=~=~=~=~=~=~=~=~=~=
calibratel ;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2042434;9861021
2042487;9860556
2042540;9860432
2042593;9860959
2042647;9859057
2042700;9859863
2042753;9859371
2042806;9859897
2042860;9860000
2042913;9859613
2042966;9859276
2043019;9859176
2043072;9859229
2043126;9859939
2043179;9859811
2043233;9859878
2043285;9859930
2043339;9859460
2043392;9858773
2043445;9858185
2043499;9859238
2043552;9857858
2043605;9857370
2043658;9857636
2043712;9857437
2043765;9856835
2043818;9856370
2043872;9856128
2043925;9854587
2043977;9854104
2044031;9853184
2044085;9851524
2044137;9852178
2044191;9852226
2044244;9851861
2044298;9852487
2044351;9852600
2044404;9851809
2044457;9852212
2044510;9852259
2044564;9851814
2044617;9852084
2044670;9852529
2044724;9852359
2044777;9852871
2044829;9853008
2044883;9852140
2044936;9852259
2044989;9851723
2045043;9851509
2045096;9850950
2045149;9851567
2045203;9851619
2045256;9851097
2045309;9852164
2045362;9851149
2045416;9850206
2045469;9850571
2045522;9850418
2045576;9850395
2045628;9849419
2045682;9849650
2045735;9849855
2045789;9849480
2045842;9849424
2045895;9849680
2045948;9849234
2046002;9850153
2046055;9849330
2046108;9849641
2046161;9849120
2046214;9849221
2046267;9848548
2046321;9848524
2046374;9847969
2046428;9847566
2046480;9847352
2046534;9847736
2046587;9846561
2046640;9845850
2046694;9845807
2046747;9845039
2046800;9845148
2046854;9845527
2046907;9845437
2046960;9846186
2047013;9845460
2047067;9845882
2047119;9844238
2047173;9844417
2047227;9845001
2047279;9844650
2047333;9845086
2047386;9844797
2047439;9844706
2047493;9845404
2047546;9845090
2047599;9844066
2047652;9843678
2047705;9844550
2047759;9843896
2047812;9843493
2047865;9843204
2047918;9844474
2047972;9843493
2048025;9843384
2048079;9843275
2048131;9842952
2048184;9843217
2048238;9843389
2048291;9843061
2048345;9843773
2048398;9842672
2048451;9842710
2048504;9842824
2048557;9843957
2048611;9843128
2048664;9842032
2048717;9843137
2048771;9841553
2048823;9841525
2048877;9842202
2048930;9841330
2048984;9841521
2049037;9840520
2049090;9840597
2049143;9840218
2049196;9840507
2049250;9840895
2049303;9839914
2049356;9840942
2049410;9840118
2049463;9840777
2049516;9839720
2049569;9840079
2049622;9840421
2049676;9839706
2049729;9839597
2049782;9839178
2049835;9838568
2049889;9838524
2049942;9837486
2049995;9838259
2050049;9838070
2050102;9836927
2050155;9838040
2050208;9836681
2050262;9836751
2050314;9836969
2050368;9837035
2050421;9838543
2050475;9837410
2050528;9837628
2050581;9837961
2050634;9838487
2050687;9838378
2050741;9838454
2050794;9838629
2050848;9838487
2050900;9837577
2050954;9836918
2051007;9835575
2051060;9833797
2051114;9832077
2051166;9831257
2051220;9829636
2051273;9829213
2051327;9828658
2051380;9827411
2051433;9826676
2051486;9824192
2051540;9825905
2051593;9824803
2051646;9824823
2051699;9825852
2051752;9825785
2051806;9826064
2051859;9827155
2051912;9828098
2051966;9828919
2052018;9827895
2052072;9828331
2052125;9829203
2052179;9829436
2052232;9829645
2052285;9829375
2052338;9829341
2052391;9829412
2052445;9830062
2052498;9829640
2052552;9829682
2052604;9829938
2052658;9830229
2052711;9831081
2052765;9831954
2052817;9832058
2052870;9831551
2052924;9832040
2052977;9832001
2053031;9831996
2053084;9831873
2053137;9831251
2053190;9829839
2053244;9829275
2053297;9829668
2053350;9828891
2053403;9829645
2053456;9829005
2053510;9827814
2053563;9828123
2053617;9829213
2053669;9828507
2053723;9830190
2053776;9829308
2053830;9829024
2053882;9829403
2053936;9829787
2053989;9829934
2054042;9831281
2054096;9829522
2054149;9829839
2054202;9830029
2054255;9829910
2054309;9829682
2054362;9829887
2054415;9829697
2054468;9829028
2054521;9828791
2054575;9827449
2054628;9827141
2054682;9827686
2054735;9827658
2054787;9827132
2054841;9826240
2054895;9828591
2054948;9827302
2055001;9827942
2055054;9827786
2055107;9827269
2055161;9827346
2055214;9827488
2055268;9827193
2055320;9828056
2055374;9827567
2055427;9827179
2055480;9826894
2055534;9825847
2055586;9825913
2055640;9825596
2055693;9824935
2055746;9824857
2055800;9824509
2055853;9824287
2055906;9822467
2055959;9823610
2056013;9823196
2056066;9824533
2056119;9824625
2056172;9824208
2056226;9825155
2056279;9826042
2056332;9824921
2056386;9824629
2056439;9824401
2056492;9823419
2056545;9823401
2056599;9823543
2056652;9824259
2056705;9823931
2056758;9823828
2056811;9823805
2056865;9824387
2056918;9824720
2056971;9824439
2057024;9824665
2057077;9825099
2057131;9825756
2057184;9826350
2057238;9827183
2057291;9826378
2057344;9826634
2057397;9826050
2057450;9827041
2057504;9825752
2057557;9825191
2057610;9826145
2057663;9825803
2057717;9825770
2057770;9825980
2057823;9825368
2057877;9825410
2057929;9825059
2057983;9825202
2058036;9824478
2058090;9824971
2058142;9824760
2058196;9825002
2058249;9824572
2058303;9824345
2058356;9824358
2058408;9826128
2058462;9824587
2058516;9824295
2058569;9824292
2058622;9824036
2058675;9824150
2058729;9824459
2058781;9825547
2058835;9824976
2058888;9825188
2058941;9824852
2058995;9825805
2059048;9824141
2059101;9823240
2059154;9823761
2059208;9823449
2059261;9822353
2059314;9822486
2059368;9822064
2059421;9820959
2059474;9821590
2059527;9820788
2059580;9820978
2059634;9820850
2059687;9822030
2059740;9821513
2059794;9821841
2059846;9821755
2059900;9821655
2059953;9821746
2060007;9823410
2060060;9822481
2060113;9822139
2060166;9822698
2060219;9822514
2060273;9822481
2060326;9820803
2060379;9820940
2060433;9820138
2060485;9820210
2060539;9820419
2060592;9820271
2060646;9819859
2060698;9819877
2060752;9820541
2060805;9819954
2060859;9819726
2060912;9820408
2060965;9820438
2061018;9819612
2061071;9819784
2061125;9820953
2061178;9819493
2061231;9819414
2061284;9820310
2061338;9819635
2061391;9819977
2061445;9819945
2061497;9820741
2061550;9820338
2061604;9819447
2061657;9819030
2061711;9819959
2061764;9820650
2061817;9821846
2061870;9828573
2061923;9845905
2061977;9862510
2062030;9871446
2062083;9879051
2062137;9884810
2062189;9895227
2062243;9901623
2062296;9907051
2062350;9913973
2062403;9919245
2062456;9923190
2062509;9926347
2062562;9932686
2062616;9939788
2062669;9945036
2062722;9950427
2062775;9956310
2062828;9959330
2062882;9962976
2062935;9971036
2062988;9977057
2063042;9981035
2063095;9984424
2063148;9988866
2063202;9989833
2063255;9991488
2063308;9998705
2063361;10001743
2063414;10006319
2063468;10009784
2063521;10011936
2063574;10014293
2063628;10015758
2063680;10020162
2063734;10024306
2063787;10028179
2063841;10032584
2063894;10035845
2063947;10038760
2064001;10041160
2064053;10043602
2064107;10047048
2064160;10048604
2064214;10051846
2064267;10052713
2064320;10054241
2064373;10057492
2064427;10058593
2064479;10060864
2064533;10064022
2064586;10065894
2064639;10066434
2064692;10066685
2064746;10067344
2064799;10067781
2064852;10071309
2064905;10073343
2064959;10075845
2065012;10077485
2065065;10079890
2065118;10081919
2065172;10083830
2065225;10086299
2065278;10088177
2065331;10091131
2065385;10091525
2065438;10093539
2065492;10094112
2065544;10096360
2065598;10096616
2065651;10098872
2065704;10098976
2065757;10099640
2065811;10097664
2065864;10099698
2065917;10100147
2065971;10102997
2066023;10104369
2066077;10106676
2066130;10109403
2066184;10110784
2066237;10110374
2066290;10109690
2066343;10111074
2066397;10112327
2066450;10113675
2066503;10114661
2066556;10115448
2066609;10116680
2066663;10117878
2066716;10118148
2066769;10119088
2066822;10119757
2066875;10119856
2066929;10121288
2066982;10120648
2067035;10120051
2067089;10121114
2067142;10122872
2067196;10122213
2067248;10122725
2067302;10124454
2067355;10124488
2067408;10125297
2067462;10126882
2067515;10127261
2067568;10128089
2067621;10128263
2067675;10128589
2067728;10129884
2067781;10130055
2067834;10129604
2067887;10130282
2067941;10132079
2067994;10133468
2068048;10132589
2068101;10132623
2068154;10132864
2068207;10133922
2068260;10134951
2068314;10132961
2068367;10134647
