=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:49:22 =~=~=~=~=~=~=~=~=~=~=~=
calibrae te;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1466021;10356654
1466074;10355551
1466127;10355714
1466180;10356216
1466234;10357757
1466287;10356506
1466340;10357851
1466393;10357319
1466447;10357875
1466500;10357747
1466554;10358146
1466606;10357703
1466660;10356886
1466713;10357176
1466766;10357590
1466820;10357067
1466872;10356319
1466926;10355665
1466979;10357043
1467033;10357024
1467085;10356807
1467139;10357043
1467192;10356492
1467246;10357585
1467299;10358515
1467352;10358476
1467406;10358230
1467458;10358294
1467512;10359072
1467565;10359785
1467618;10356029
1467671;10354877
1467725;10357235
1467778;10356255
1467831;10357679
1467885;10358151
1467937;10359106
1467991;10360081
1468045;10359810
1468097;10359416
1468151;10357531
1468204;10356570
1468257;10357511
1468311;10358353
1468364;10359835
1468417;10361735
1468470;10361095
1468523;10360819
1468576;10361592
1468630;10361671
1468684;10361503
1468737;10361134
1468790;10360701
1468843;10361592
1468897;10361651
1468949;10360657
1469003;10361445
1469056;10360504
1469109;10361159
1469162;10361573
1469216;10361366
1469269;10361725
1469322;10362390
1469375;10361513
1469429;10361622
1469482;10363650
1469535;10359874
1469588;10361105
1469642;10360273
1469695;10361169
1469748;10362616
1469801;10361902
1469855;10362257
1469908;10361888
1469961;10362025
1470015;10360868
1470068;10360790
1470121;10361016
1470174;10362360
1470227;10362188
1470280;10362409
1470334;10361912
1470387;10361474
1470441;10362104
1470494;10362213
1470547;10361292
1470600;10361858
1470654;10360396
1470706;10360829
1470760;10360312
1470814;10360662
1470867;10360662
1470920;10361159
1470973;10361750
1471026;10362523
1471080;10361322
1471132;10361375
1471186;10361322
1471239;10359815
1471293;10361071
1471346;10360701
1471399;10361331
1471453;10362301
1471506;10361917
1471559;10362311
1471612;10362168
1471666;10361282
1471718;10361405
1471772;10361597
1471825;10361563
1471878;10362109
1471932;10362680
1471985;10361839
1472038;10362769
1472092;10361302
1472145;10361888
1472198;10362444
1472251;10361888
1472305;10362744
1472358;10362326
1472411;10363040
1472464;10363453
1472517;10363049
1472571;10362926
1472624;10364118
1472677;10364438
1472730;10365068
1472784;10365294
1472837;10363945
1472890;10363591
1472944;10364674
1472997;10364122
1473050;10363832
1473103;10365181
1473156;10364482
1473210;10363921
1473263;10363487
1473316;10364231
1473369;10361317
1473423;10362153
1473476;10363384
1473529;10363527
1473583;10363857
1473635;10362606
1473689;10361031
1473742;10361366
1473795;10362213
1473849;10362862
1473902;10364699
1473955;10364132
1474008;10363108
1474062;10363650
1474115;10363118
1474168;10364458
1474221;10364822
1474275;10364576
1474328;10364846
1474381;10366156
1474435;10365334
1474488;10364763
1474541;10364802
1474594;10365590
1474647;10365516
1474701;10366008
1474754;10365369
1474807;10364989
1474860;10365447
1474914;10363286
1474967;10362444
1475020;10364024
1475073;10364182
1475127;10363916
1475180;10363098
1475233;10363748
1475287;10364039
1475340;10364620
1475393;10363876
1475446;10362769
1475500;10363463
1475553;10364679
1475606;10363694
1475659;10364556
1475713;10366180
1475765;10365146
1475819;10363625
1475872;10363468
1475926;10363266
1475978;10365319
1476032;10364719
1476085;10364571
1476139;10360337
1476192;10351824
1476245;10352780
1476299;10357974
1476351;10359623
1476404;10363414
1476458;10363842
1476511;10364458
1476564;10366329
1476618;10365359
1476671;10365477
1476725;10365181
1476777;10367042
1476831;10367230
1476884;10368633
1476938;10368692
1476991;10363527
1477043;10356418
1477097;10356959
1477150;10359372
1477203;10362966
1477257;10364132
1477310;10365102
1477363;10365856
1477417;10364970
1477469;10366520
1477523;10364960
1477576;10364458
1477629;10364551
1477683;10364842
1477735;10365566
1477789;10365610
1477842;10368578
1477896;10365664
1477949;10364635
1478002;10365408
1478055;10366289
1478109;10366422
1478162;10367727
1478215;10365600
1478269;10366127
1478322;10365368
1478375;10365068
1478428;10365654
1478481;10366053
1478534;10366692
1478588;10366038
1478641;10366506
1478694;10366658
1478748;10366472
1478801;10365491
1478854;10362454
1478908;10364137
1478960;10364664
1479014;10365191
1479067;10366865
1479120;10367569
1479173;10367717
1479227;10369258
1479281;10369204
1479333;10370060
1479387;10371089
1479440;10370238
1479493;10367865
1479546;10367245
1479600;10368116
1479653;10369233
1479706;10369327
1479760;10368874
1479813;10369455
1479866;10368298
1479919;10367097
1479973;10367682
1480026;10367486
1480079;10368490
1480132;10367629
