=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:52:22 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1661345;10466431
1661399;10466336
1661451;10466017
1661505;10467302
1661558;10466421
1661612;10466042
1661664;10466135
1661718;10466223
1661771;10466657
1661824;10466549
1661877;10466918
1661931;10466735
1661984;10467355
1662038;10466986
1662090;10466632
1662144;10465829
1662197;10467395
1662250;10467932
1662304;10467744
1662357;10467784
1662410;10467927
1662463;10468497
1662516;10468138
1662570;10468193
1662623;10466961
1662677;10466961
1662730;10466695
1662783;10467084
1662836;10467897
1662890;10467636
1662942;10467965
1662996;10468399
1663049;10468143
1663103;10467809
1663155;10467975
1663209;10467317
1663262;10467114
1663316;10467513
1663368;10467468
1663422;10467325
1663475;10467827
1663528;10468457
1663582;10467842
1663635;10467819
1663688;10466479
1663742;10466356
1663795;10466853
1663848;10466770
1663901;10466893
1663955;10466386
1664007;10466105
1664061;10466740
1664114;10467129
1664167;10467076
1664221;10467041
1664273;10467897
1664327;10468030
1664380;10468163
1664434;10468467
1664487;10469064
1664540;10469122
1664593;10470314
1664646;10469727
1664700;10469998
1664753;10469968
1664806;10469850
1664860;10469772
1664912;10469463
1664966;10469285
1665020;10469215
1665072;10469064
1665126;10469398
1665179;10470500
1665232;10470053
1665286;10469782
1665339;10468788
1665392;10469217
1665445;10469265
1665499;10468876
1665552;10468999
1665605;10468605
1665658;10468833
1665712;10468951
1665765;10470088
1665818;10469822
1665871;10470161
1665924;10469629
1665978;10469727
1666031;10470427
1666084;10470284
1666137;10470397
1666191;10470595
