=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 19:08:15 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
3197189;10767602
3197214;10767930
3197241;10768171
3197267;10768800
3197293;10768381
3197319;10768334
3197345;10768683
3197372;10768744
3197398;10768698
3197424;10768924
3197450;10768980
3197477;10768969
3197503;10768759
3197529;10768903
3197555;10768913
3197582;10768852
3197607;10768969
3197634;10768754
3197660;10768775
3197686;10768350
3197712;10768073
3197739;10767802
3197765;10767602
3197791;10767766
3197817;10767075
3197843;10767100
3197869;10766558
3197896;10766225
3197922;10765887
3197949;10765559
3197974;10765651
3198001;10765539
3198027;10764735
3198053;10765145
3198079;10765554
3198105;10764909
3198132;10765134
3198158;10765288
3198184;10766071
3198210;10765774
3198236;10766071
3198263;10766506
3198289;10766158
3198315;10766696
3198342;10767008
3198367;10767674
3198394;10767715
3198420;10767577
3198446;10767950
3198473;10768232
3198499;10768816
3198526;10769169
3198551;10769108
3198577;10769102
3198604;10770060
3198630;10769814
3198656;10770029
3198682;10770137
3198708;10770383
3198735;10770839
3198761;10770828
3198787;10771396
3198813;10771156
3198840;10771678
3198866;10771176
3198892;10771509
3198918;10771996
3198944;10772692
3198971;10772846
3198997;10772702
3199023;10773127
3199049;10773030
3199076;10773214
3199102;10773511
3199128;10773695
3199154;10774064
3199180;10773931
3199207;10774023
3199233;10774100
3199259;10774484
3199286;10774423
3199311;10774586
3199337;10774735
3199364;10775180
3199390;10774627
3199416;10774898
3199442;10775104
3199469;10775032
3199495;10774827
3199522;10775247
3199547;10775344
3199573;10775406
3199600;10775452
3199626;10775907
3199653;10775662
3199679;10775723
3199705;10775646
3199731;10775651
3199757;10776189
3199784;10776225
3199810;10775646
3199836;10775800
3199862;10776138
3199888;10776266
3199914;10776343
3199940;10776527
3199967;10776440
3199993;10776824
3200020;10777044
3200046;10776952
3200072;10777336
3200098;10777315
3200125;10777705
3200151;10777346
3200176;10777485
3200203;10777653
3200229;10777802
3200255;10777940
3200282;10778268
3200308;10778349
3200334;10778412
3200361;10778457
3200386;10778734
3200412;10779236
3200439;10779046
3200465;10778851
3200491;10778877
3200517;10778989
3200544;10779333
3200570;10779430
3200596;10779323
3200622;10780014
3200648;10779487
3200675;10779527
3200701;10779430
3200727;10779784
3200753;10779660
3200780;10780055
3200806;10779753
3200832;10779793
3200859;10779692
3200885;10779697
3200910;10779614
3200937;10779687
3200963;10779569
3200989;10779348
3201016;10779251
3201042;10779266
3201068;10779348
3201094;10778990
3201121;10778892
3201147;10778867
3201173;10778288
3201199;10778857
3201225;10778432
3201251;10778386
3201278;10778483
3201304;10778007
3201330;10778237
3201356;10778032
3201383;10777551
3201409;10777510
3201435;10777986
3201461;10777853
3201488;10777894
3201513;10777817
3201540;10777833
3201566;10777858
3201592;10777884
3201619;10777956
3201645;10778283
3201671;10778006
3201697;10778099
3201723;10778713
3201749;10778237
3201776;10778345
3201802;10778401
3201828;10778636
3201854;10778596
3201881;10778580
3201907;10778698
3201933;10778688
3201959;10778621
3201985;10778580
3202012;10778534
3202038;10778560
3202064;10778749
3202090;10778933
3202117;10778836
3202143;10779061
3202169;10778647
3202195;10779082
3202222;10779117
3202248;10779415
3202274;10779317
3202300;10779399
3202326;10779471
3202353;10780341
3202378;10779568
3202405;10779364
3202431;10779650
3202458;10779937
3202483;10779784
3202510;10779758
3202536;10779912
3202562;10780300
3202589;10780111
3202615;10780147
3202641;10780183
3202667;10779973
3202693;10780009
3202720;10779840
3202746;10779630
3202772;10779932
3202798;10779650
3202824;10779538
3202850;10779297
3202877;10779435
3202903;10778995
3202929;10778560
3202956;10778263
3202982;10778211
3203008;10778493
3203034;10778242
3203060;10778626
3203087;10778360
3203113;10778493
3203139;10778391
3203165;10778601
3203191;10778636
3203218;10778913
3203244;10779620
3203270;10779763
3203296;10780085
3203323;10780326
3203349;10781053
3203375;10780664
3203401;10780761
3203428;10781079
3203453;10781360
3203480;10781878
3203506;10781161
3203532;10781580
3203559;10781637
3203585;10781519
3203611;10782031
3203637;10781822
3203663;10782098
3203690;10781857
3203716;10781806
3203742;10781632
3203768;10782246
3203795;10782840
3203820;10782538
3203847;10782405
3203873;10782415
3203899;10782420
3203925;10782820
3203952;10782712
3203978;10782830
3204004;10783030
3204030;10783147
3204057;10783664
3204083;10784285
3204109;10784335
3204136;10785078
3204161;10785057
3204188;10785308
3204214;10785482
3204240;10785626
3204266;10785948
3204293;10785687
3204318;10785949
3204345;10785748
3204371;10785856
3204397;10785969
3204423;10785877
3204450;10786312
3204476;10786255
3204503;10786399
3204529;10786522
3204555;10786337
3204581;10786593
3204607;10786860
3204634;10786880
3204660;10786926
3204685;10787238
3204712;10786823
3204738;10786998
3204764;10786870
3204791;10787024
3204817;10787238
3204843;10786988
3204869;10786886
3204896;10787274
3204922;10787034
3204948;10787203
3204974;10787689
3205001;10787397
