=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 12:04:07 =~=~=~=~=~=~=~=~=~=~=~=
claibra      alibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2364815;10955389
2364867;10956008
2364921;10956520
2364974;10957396
2365027;10958062
2365081;10955671
2365134;10954256
2365187;10955998
2365241;10957806
2365294;10958600
2365347;10958650
2365400;10957626
2365453;10956813
2365507;10956372
2365560;10956664
2365614;10956473
2365667;10956173
2365720;10956217
2365773;10956515
2365826;10956659
2365880;10956946
2365933;10957359
2365986;10957309
2366039;10957134
2366092;10957218
2366146;10956894
2366199;10956541
2366253;10956494
2366305;10956745
2366359;10957545
2366412;10957221
2366465;10957636
2366519;10956884
2366572;10956489
2366625;10955502
2366679;10955896
2366731;10957176
2366785;10957231
2366838;10958015
2366892;10959086
2366944;10958323
2366998;10958490
2367051;10958266
2367104;10957887
2367158;10958062
2367210;10958271
2367264;10958702
2367317;10959465
2367371;10959700
2367424;10960256
