=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:49:38 =~=~=~=~=~=~=~=~=~=~=~=
calubr   ibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2087505;10127802
2087531;10127498
2087557;10128357
2087584;10128432
2087610;10127650
2087636;10128304
2087662;10127360
2087688;10126901
2087715;10126940
2087741;10127072
2087767;10125790
2087794;10126157
2087820;10125503
2087846;10124307
2087872;10124177
2087899;10124425
2087924;10124208
2087951;10124561
2087977;10123752
2088003;10124034
2088029;10123802
2088055;10122430
2088082;10123348
2088108;10123114
2088134;10123834
2088160;10124307
2088187;10123174
2088213;10124044
2088239;10124510
2088266;10125176
2088291;10124906
2088318;10125155
2088344;10126353
2088370;10126283
2088397;10126432
2088422;10127741
2088449;10127360
2088475;10129294
2088501;10128826
2088528;10128792
2088554;10127642
2088580;10128077
2088606;10128606
2088632;10129096
2088658;10129519
2088685;10129727
2088711;10129517
2088737;10128338
2088764;10128712
2088789;10129101
2088816;10127432
2088842;10127423
2088868;10127222
2088895;10126256
2088920;10126630
2088947;10125389
2088973;10125176
2088999;10125307
2089026;10124157
2089052;10123909
2089078;10123681
2089104;10124346
2089130;10124222
2089157;10123638
2089183;10123124
2089209;10123397
2089235;10123677
2089261;10124247
2089288;10124546
2089313;10125522
2089340;10126993
2089367;10126655
2089393;10125986
